muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
1.23,1.61,4.06,8.51,1.98403e-05,-7.93909e-07,-4.92590e-04,-4.59434e-04,-1.98784e-04,6.40368e-06,5.21080e-05,-1.46998e-05,1.17495e-04,1.09000e-05,8.83710e-07,4.76149e-06,1.31056e-06,7.01521e-07,7.64855e-05,-9.41802e-05,-1.11865e-04,-4.74829e-07,5.17004e-06,2.63364e-07,7.76513e-06,-1.95628e-07,-8.94215e-05,-2.04050e-05,-1.73089e-05,-2.08635e-05,8.45743e-05,1.11107e-04,2.69508e-06,-1.05268e-04,-1.49478e-05,6.66476e-05,1.05132e-07,1.17120e-09
1.25,5.07,7.40,8.14,2.60465e-06,-5.33986e-06,-7.22787e-05,-5.08979e-05,-6.27596e-05,1.54815e-06,5.25609e-06,-1.48273e-06,1.49147e-05,-2.40967e-05,-3.11922e-07,-9.37953e-07,1.51021e-06,2.03332e-07,9.22282e-06,-2.74706e-05,-1.89761e-05,-8.06899e-08,1.93620e-06,4.79881e-08,1.37100e-06,-4.20342e-08,-1.74211e-05,-3.11067e-06,-5.28435e-06,-8.27678e-06,2.15085e-05,1.55679e-05,1.98847e-06,-1.01658e-05,-4.08910e-06,6.06095e-06,5.42354e-09,2.37624e-10
0.86,4.25,3.75,3.14,6.63292e-06,-1.17610e-05,-1.71280e-04,-7.61631e-05,-1.56266e-04,5.58494e-06,7.47602e-06,-2.10883e-06,3.28440e-05,-7.34082e-05,-1.32231e-06,-1.67298e-05,3.35071e-06,7.75689e-07,9.26045e-06,-4.17272e-05,-3.67560e-05,-2.75230e-07,6.96698e-06,1.51336e-07,-1.76616e-06,-1.37465e-07,-2.94060e-05,-8.02745e-06,-1.75092e-05,-1.38042e-05,4.72644e-05,1.90510e-05,5.64235e-06,-1.78288e-05,-5.69821e-06,-1.04336e-05,1.52535e-08,3.86664e-10
1.25,3.40,4.42,4.21,6.56910e-06,-4.70098e-06,-1.68067e-04,-1.06983e-04,-1.06318e-04,4.22622e-06,1.16591e-05,-3.29171e-06,3.58150e-05,-3.42214e-05,-5.77381e-07,-6.31227e-06,1.45671e-06,5.63919e-07,2.03155e-05,-3.40250e-05,-4.10380e-05,-2.45360e-07,4.61509e-06,1.38184e-07,1.20529e-06,-1.17208e-07,-3.49162e-05,-7.19208e-06,-1.20027e-05,-8.15334e-06,4.75686e-05,3.09437e-05,2.95490e-06,-2.43843e-05,-7.47244e-06,6.87842e-06,3.29438e-08,5.44650e-10
1.07,4.29,4.50,2.67,6.98256e-06,-7.32793e-06,-1.34331e-04,-7.09114e-05,-1.08966e-04,3.97865e-06,7.30914e-06,-2.06251e-06,2.74051e-05,-4.56180e-05,-7.99825e-07,-9.69387e-06,2.12202e-06,5.56637e-07,1.14178e-05,-3.18151e-05,-3.14756e-05,-2.08391e-07,4.91643e-06,1.16112e-07,-2.07402e-08,-1.00145e-07,-2.79573e-05,-8.02952e-06,-1.24659e-05,-1.06285e-05,3.92685e-05,8.27872e-06,3.65410e-06,-2.73835e-05,-5.61995e-06,-1.37411e-05,1.64691e-08,4.46315e-10
0.65,6.63,4.17,4.20,3.73642e-06,-2.17166e-05,-1.27481e-04,-4.58163e-05,-1.91314e-04,4.38597e-06,3.06894e-06,-8.65391e-07,2.05067e-05,-1.04668e-04,-1.81846e-06,-2.31695e-05,6.15413e-06,6.24731e-07,-3.21708e-06,-6.57707e-05,-2.16421e-05,-2.00656e-07,6.19793e-06,1.09216e-07,-3.55214e-06,-1.03526e-07,-1.74936e-05,-5.97468e-06,-1.58724e-05,-2.70398e-05,2.20911e-05,1.13723e-05,7.23912e-06,-4.00665e-06,1.65304e-06,-1.08035e-05,2.68372e-09,1.69430e-10
1.37,8.73,7.30,3.95,2.55599e-06,-4.71449e-06,-4.51748e-05,-1.96980e-05,-5.03189e-05,1.48334e-06,1.76797e-06,-4.98618e-07,8.52046e-06,-2.49254e-05,-4.36971e-07,-5.49268e-06,1.34041e-06,2.13936e-07,1.52764e-06,-1.54916e-05,-9.46396e-06,-7.23916e-08,2.02108e-06,3.96975e-08,-5.29425e-07,-3.47576e-08,-8.52578e-06,-3.16180e-06,-5.12409e-06,-6.27846e-06,1.17221e-05,-9.37770e-07,1.85328e-06,-9.71772e-06,-1.07363e-06,-8.93393e-06,2.50389e-09,1.95638e-10
0.57,7.30,1.36,3.17,1.57749e-05,-2.80270e-05,-8.09929e-04,-4.77747e-05,-6.72454e-04,3.97320e-05,2.52938e-06,-7.13116e-07,1.36894e-04,-3.83186e-04,-8.13067e-06,-1.60515e-04,8.42215e-06,4.78716e-06,-2.65357e-05,-7.87076e-06,-1.00790e-04,-1.48849e-06,3.74815e-05,6.19585e-07,-3.99412e-05,-6.84030e-07,-3.19432e-05,-1.99874e-05,-9.06579e-05,-7.81775e-06,1.65325e-05,8.35677e-05,2.17582e-05,7.08734e-05,5.15690e-06,-9.26777e-05,5.96644e-09,3.37781e-10
0.63,8.56,7.35,5.63,1.81129e-06,-2.30473e-05,-6.38912e-05,-3.60562e-05,-1.59790e-04,1.45048e-06,1.84341e-06,-5.19819e-07,8.38077e-06,-8.83597e-05,-1.40487e-06,-1.35276e-05,6.52076e-06,2.08483e-07,-2.23174e-06,-8.17317e-05,-9.84502e-06,-6.71701e-08,2.23262e-06,3.79985e-08,-5.12758e-07,-3.47375e-08,-1.29867e-05,-4.04748e-06,-6.34688e-06,-3.67941e-05,8.86250e-06,4.21881e-06,4.58615e-06,-5.03987e-06,4.17860e-06,-3.61753e-06,5.23212e-10,8.27196e-11
0.70,3.03,6.12,2.83,8.66399e-06,-1.74453e-05,-1.70500e-04,-1.44873e-04,-1.68109e-04,2.58189e-06,1.47357e-05,-4.15830e-06,3.64160e-05,-6.15275e-05,-6.09496e-07,4.55647e-06,4.90252e-06,3.25762e-07,2.81780e-05,-9.36876e-05,-4.92657e-05,-1.33573e-07,3.38533e-06,7.85776e-08,6.71171e-06,-6.39735e-08,-5.12362e-05,-1.04305e-05,-9.88387e-06,-3.25518e-05,4.47165e-05,2.71716e-05,4.41992e-06,-4.51514e-05,-1.15626e-05,8.21599e-06,7.16913e-09,3.95591e-10
1.00,4.83,6.99,8.34,2.82246e-06,-8.57441e-06,-8.27990e-05,-5.83060e-05,-8.55375e-05,1.73043e-06,5.78360e-06,-1.63126e-06,1.64898e-05,-3.60527e-05,-4.82046e-07,-1.38973e-06,2.40055e-06,2.27146e-07,9.70013e-06,-3.97265e-05,-2.13975e-05,-8.66774e-08,2.24120e-06,5.15069e-08,1.66966e-06,-4.60833e-08,-1.99999e-05,-3.60940e-06,-6.21787e-06,-1.32463e-05,2.43610e-05,1.77910e-05,2.70985e-06,-1.07537e-05,-4.49765e-06,7.13405e-06,4.34467e-09,2.10845e-10
0.54,8.85,5.89,7.00,1.75010e-06,-3.13337e-05,-8.58694e-05,-4.21269e-05,-2.18492e-04,2.19670e-06,1.72321e-06,-4.85908e-07,1.05727e-05,-1.23082e-04,-1.99790e-06,-2.15871e-05,8.89122e-06,3.15630e-07,-5.61086e-06,-1.07292e-04,-1.15803e-05,-9.98100e-08,3.36273e-06,5.59126e-08,-1.76609e-06,-5.32054e-08,-1.53639e-05,-4.77347e-06,-9.41136e-06,-4.83870e-05,7.70880e-06,7.47837e-06,6.63725e-06,-1.18511e-06,7.26838e-06,-3.75204e-06,5.21820e-10,6.96241e-11
1.35,5.47,4.08,6.32,3.55816e-06,-4.61615e-06,-1.24940e-04,-4.38711e-05,-9.52145e-05,4.60405e-06,4.51357e-06,-1.27295e-06,2.37227e-05,-4.48908e-05,-9.29761e-07,-1.38295e-05,1.35036e-06,6.11039e-07,5.69983e-06,-1.53396e-05,-2.42219e-05,-2.23212e-07,4.87308e-06,1.14862e-07,-2.38374e-06,-1.09005e-07,-1.64845e-05,-4.14128e-06,-1.21060e-05,-4.02897e-06,3.10622e-05,1.92760e-05,3.06646e-06,-2.81167e-06,-3.45885e-06,-3.50794e-06,1.72589e-08,3.08865e-10
0.80,8.93,3.74,6.06,2.89595e-06,-1.44186e-05,-1.29021e-04,-2.74493e-05,-1.56884e-04,5.33996e-06,1.69087e-06,-4.76763e-07,2.09672e-05,-8.84763e-05,-1.66914e-06,-2.65419e-05,4.12344e-06,7.40664e-07,-5.50054e-06,-3.40880e-05,-1.96132e-05,-2.33894e-07,6.93745e-06,1.19066e-07,-5.71456e-06,-1.18831e-07,-1.13029e-05,-4.45407e-06,-1.72217e-05,-1.35831e-05,1.37575e-05,1.41448e-05,6.45673e-06,5.66386e-06,1.71018e-06,-1.14737e-05,2.19123e-09,1.38510e-10
1.31,8.61,3.64,6.98,2.88402e-06,-5.20377e-06,-1.26735e-04,-2.07039e-05,-1.06095e-04,5.65353e-06,1.82140e-06,-5.13522e-07,2.22101e-05,-5.75966e-05,-1.21507e-06,-2.13948e-05,1.52160e-06,7.25044e-07,-1.10973e-06,-7.73806e-06,-1.92643e-05,-2.37791e-07,5.81203e-06,1.10745e-07,-4.99366e-06,-1.14201e-07,-9.19270e-06,-3.57798e-06,-1.41647e-05,-2.73890e-06,1.78026e-05,1.53319e-05,3.63070e-06,6.26644e-06,-9.87780e-07,-1.08546e-05,6.53431e-09,2.01909e-10
1.17,7.34,4.76,1.19,1.83808e-05,-6.50892e-06,-8.86989e-05,-2.82319e-05,-8.70928e-05,3.71807e-06,2.50673e-06,-7.06674e-07,2.06702e-05,-4.23560e-05,-8.57991e-07,-1.58816e-05,2.00274e-06,5.51455e-07,1.23277e-06,-1.69319e-05,-1.82110e-05,-1.81306e-07,4.65801e-06,8.85894e-08,-1.85309e-06,-7.09394e-08,-2.84808e-05,-2.07494e-05,-1.37962e-05,-1.76334e-05,1.94661e-05,-8.92367e-05,3.23204e-06,-1.01628e-04,-1.35431e-06,-1.10063e-04,5.93716e-09,4.19764e-10
1.05,8.93,4.14,5.35,2.77080e-06,-8.23172e-06,-1.04327e-04,-2.21115e-05,-1.07861e-04,4.38558e-06,1.69047e-06,-4.76652e-07,1.78434e-05,-5.94391e-05,-1.16199e-06,-1.90951e-05,2.36129e-06,5.99232e-07,-2.30796e-06,-1.78424e-05,-1.67253e-05,-1.92660e-07,5.35635e-06,9.64806e-08,-4.19168e-06,-9.57618e-08,-9.45472e-06,-3.73540e-06,-1.31533e-05,-6.85709e-06,1.51176e-05,1.04037e-05,4.29510e-06,1.95268e-06,-1.21850e-07,-1.06671e-05,3.29508e-09,1.82630e-10
0.64,2.44,7.23,2.18,1.32723e-05,-1.98748e-05,-2.24410e-04,-2.17161e-04,-1.96732e-04,2.36688e-06,2.26925e-05,-6.40581e-06,5.08319e-05,-5.80267e-05,-2.22441e-07,1.41997e-05,5.63120e-06,2.64462e-07,4.65166e-05,-1.27044e-04,-7.00424e-05,-1.21813e-07,2.88937e-06,6.69992e-08,1.18919e-05,-5.03952e-08,-7.60818e-05,-1.53829e-05,-9.36723e-06,-4.39540e-05,4.57395e-05,3.39698e-05,4.09226e-06,-7.65385e-05,-1.74013e-05,1.24814e-05,6.99350e-09,4.97107e-10
0.56,8.15,4.12,3.75,3.74363e-06,-2.90430e-05,-1.28572e-04,-4.30068e-05,-2.33523e-04,4.44794e-06,2.03378e-06,-5.73468e-07,1.88794e-05,-1.31646e-04,-2.27377e-06,-2.99983e-05,8.26766e-06,6.42766e-07,-7.75561e-06,-8.76809e-05,-1.89041e-05,-2.01902e-07,6.53619e-06,1.09154e-07,-4.54519e-06,-1.03198e-07,-1.74443e-05,-6.74027e-06,-1.68868e-05,-3.81777e-05,1.24727e-05,6.63902e-06,8.57513e-06,-3.57727e-06,5.88514e-06,-1.55073e-05,1.23051e-09,1.39997e-10
1.12,2.63,5.96,8.08,7.76289e-06,-5.37234e-06,-1.96895e-04,-1.75727e-04,-1.09630e-04,2.80235e-06,1.94319e-05,-5.48241e-06,4.52441e-05,-1.79545e-05,1.44623e-07,5.95637e-06,1.72341e-06,3.20049e-07,3.59534e-05,-5.91195e-05,-5.51147e-05,-1.66765e-07,2.89932e-06,1.00174e-07,5.82649e-06,-8.11302e-08,-5.10712e-05,-8.28187e-06,-8.92403e-06,-1.39640e-05,4.60190e-05,5.15860e-05,2.55825e-06,-3.92462e-05,-1.11506e-05,3.11434e-05,1.90180e-08,5.48979e-10
0.68,4.44,5.73,9.53,3.34799e-06,-1.90678e-05,-1.15912e-04,-7.66920e-05,-1.60351e-04,2.50672e-06,6.84950e-06,-1.93151e-06,2.10136e-05,-7.70547e-05,-1.12468e-06,-5.91842e-06,5.32504e-06,3.34361e-07,9.15966e-06,-7.70002e-05,-2.72392e-05,-1.19377e-07,3.41040e-06,6.99371e-08,1.65919e-06,-6.50133e-08,-2.58830e-05,-5.08304e-06,-9.58691e-06,-2.91846e-05,3.19303e-05,2.34848e-05,5.06493e-06,-1.06268e-05,-4.12597e-06,8.64859e-06,3.67815e-09,1.70016e-10
