muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
0.56,5.57,4.48,9.18,3.0e-06,-2.9e-05,-1.3e-04,-6.3e-05,-2.3e-04,3.8e-06,4.3e-06,-1.2e-06,2.1e-05,-1.3e-04,-2.1e-06,-2.1e-05,8.2e-06,5.4e-07,-1.2e-06,-9.9e-05,-2.4e-05,-1.8e-07,5.5e-06,9.9e-08,-2.0e-06,-9.5e-08,-2.2e-05,-5.7e-06,-1.5e-05,-4.1e-05,2.7e-05,2.0e-05,8.0e-06,-1.6e-06,1.8e-06,1.4e-07,2.6e-09,1.1e-10
0.76,8.12,4.38,5.36,2.7e-06,-1.6e-05,-1.1e-04,-3.2e-05,-1.5e-04,3.9e-06,2.0e-06,-5.8e-07,1.7e-05,-8.2e-05,-1.5e-06,-2.1e-05,4.5e-06,5.6e-07,-3.7e-06,-4.4e-05,-1.7e-05,-1.8e-07,5.4e-06,9.4e-08,-3.7e-06,-9.1e-08,-1.2e-05,-4.4e-06,-1.4e-05,-1.8e-05,1.6e-05,1.1e-05,5.9e-06,3.2e-07,1.5e-06,-8.9e-06,2.1e-09,1.4e-10
1.23,1.61,4.06,8.51,2.0e-05,-7.9e-07,-4.9e-04,-4.6e-04,-2.0e-04,6.4e-06,5.2e-05,-1.5e-05,1.2e-04,1.1e-05,8.8e-07,4.8e-06,1.3e-06,7.0e-07,7.6e-05,-9.4e-05,-1.1e-04,-4.7e-07,5.2e-06,2.6e-07,7.8e-06,-2.0e-07,-8.9e-05,-2.0e-05,-1.7e-05,-2.1e-05,8.5e-05,1.1e-04,2.7e-06,-1.1e-04,-1.5e-05,6.7e-05,1.1e-07,1.2e-09
1.25,5.07,7.40,8.14,2.6e-06,-5.3e-06,-7.2e-05,-5.1e-05,-6.3e-05,1.5e-06,5.3e-06,-1.5e-06,1.5e-05,-2.4e-05,-3.1e-07,-9.4e-07,1.5e-06,2.0e-07,9.2e-06,-2.7e-05,-1.9e-05,-8.1e-08,1.9e-06,4.8e-08,1.4e-06,-4.2e-08,-1.7e-05,-3.1e-06,-5.3e-06,-8.3e-06,2.2e-05,1.6e-05,2.0e-06,-1.0e-05,-4.1e-06,6.1e-06,5.4e-09,2.4e-10
0.86,4.25,3.75,3.14,6.6e-06,-1.2e-05,-1.7e-04,-7.6e-05,-1.6e-04,5.6e-06,7.5e-06,-2.1e-06,3.3e-05,-7.3e-05,-1.3e-06,-1.7e-05,3.4e-06,7.8e-07,9.3e-06,-4.2e-05,-3.7e-05,-2.8e-07,7.0e-06,1.5e-07,-1.8e-06,-1.4e-07,-2.9e-05,-8.0e-06,-1.8e-05,-1.4e-05,4.7e-05,1.9e-05,5.6e-06,-1.8e-05,-5.7e-06,-1.0e-05,1.5e-08,3.9e-10
1.25,3.40,4.42,4.21,6.6e-06,-4.7e-06,-1.7e-04,-1.1e-04,-1.1e-04,4.2e-06,1.2e-05,-3.3e-06,3.6e-05,-3.4e-05,-5.8e-07,-6.3e-06,1.5e-06,5.6e-07,2.0e-05,-3.4e-05,-4.1e-05,-2.5e-07,4.6e-06,1.4e-07,1.2e-06,-1.2e-07,-3.5e-05,-7.2e-06,-1.2e-05,-8.2e-06,4.8e-05,3.1e-05,3.0e-06,-2.4e-05,-7.5e-06,6.9e-06,3.3e-08,5.4e-10
1.07,4.29,4.50,2.67,7.0e-06,-7.3e-06,-1.3e-04,-7.1e-05,-1.1e-04,4.0e-06,7.3e-06,-2.1e-06,2.7e-05,-4.6e-05,-8.0e-07,-9.7e-06,2.1e-06,5.6e-07,1.1e-05,-3.2e-05,-3.1e-05,-2.1e-07,4.9e-06,1.2e-07,-2.1e-08,-1.0e-07,-2.8e-05,-8.0e-06,-1.2e-05,-1.1e-05,3.9e-05,8.3e-06,3.7e-06,-2.7e-05,-5.6e-06,-1.4e-05,1.6e-08,4.5e-10
0.65,6.63,4.17,4.20,3.7e-06,-2.2e-05,-1.3e-04,-4.6e-05,-1.9e-04,4.4e-06,3.1e-06,-8.7e-07,2.1e-05,-1.0e-04,-1.8e-06,-2.3e-05,6.2e-06,6.2e-07,-3.2e-06,-6.6e-05,-2.2e-05,-2.0e-07,6.2e-06,1.1e-07,-3.6e-06,-1.0e-07,-1.7e-05,-6.0e-06,-1.6e-05,-2.7e-05,2.2e-05,1.1e-05,7.2e-06,-4.0e-06,1.7e-06,-1.1e-05,2.7e-09,1.7e-10
1.37,8.73,7.30,3.95,2.6e-06,-4.7e-06,-4.5e-05,-2.0e-05,-5.0e-05,1.5e-06,1.8e-06,-5.0e-07,8.5e-06,-2.5e-05,-4.4e-07,-5.5e-06,1.3e-06,2.1e-07,1.5e-06,-1.5e-05,-9.5e-06,-7.2e-08,2.0e-06,4.0e-08,-5.3e-07,-3.5e-08,-8.5e-06,-3.2e-06,-5.1e-06,-6.3e-06,1.2e-05,-9.4e-07,1.9e-06,-9.7e-06,-1.1e-06,-8.9e-06,2.5e-09,2.0e-10
0.57,7.30,1.36,3.17,1.6e-05,-2.8e-05,-8.1e-04,-4.8e-05,-6.7e-04,4.0e-05,2.5e-06,-7.1e-07,1.4e-04,-3.8e-04,-8.1e-06,-1.6e-04,8.4e-06,4.8e-06,-2.7e-05,-7.9e-06,-1.0e-04,-1.5e-06,3.7e-05,6.2e-07,-4.0e-05,-6.8e-07,-3.2e-05,-2.0e-05,-9.1e-05,-7.8e-06,1.7e-05,8.4e-05,2.2e-05,7.1e-05,5.2e-06,-9.3e-05,6.0e-09,3.4e-10
0.63,8.56,7.35,5.63,1.8e-06,-2.3e-05,-6.4e-05,-3.6e-05,-1.6e-04,1.5e-06,1.8e-06,-5.2e-07,8.4e-06,-8.8e-05,-1.4e-06,-1.4e-05,6.5e-06,2.1e-07,-2.2e-06,-8.2e-05,-9.8e-06,-6.7e-08,2.2e-06,3.8e-08,-5.1e-07,-3.5e-08,-1.3e-05,-4.0e-06,-6.3e-06,-3.7e-05,8.9e-06,4.2e-06,4.6e-06,-5.0e-06,4.2e-06,-3.6e-06,5.2e-10,8.3e-11
0.70,3.03,6.12,2.83,8.7e-06,-1.7e-05,-1.7e-04,-1.4e-04,-1.7e-04,2.6e-06,1.5e-05,-4.2e-06,3.6e-05,-6.2e-05,-6.1e-07,4.6e-06,4.9e-06,3.3e-07,2.8e-05,-9.4e-05,-4.9e-05,-1.3e-07,3.4e-06,7.9e-08,6.7e-06,-6.4e-08,-5.1e-05,-1.0e-05,-9.9e-06,-3.3e-05,4.5e-05,2.7e-05,4.4e-06,-4.5e-05,-1.2e-05,8.2e-06,7.2e-09,4.0e-10
1.00,4.83,6.99,8.34,2.8e-06,-8.6e-06,-8.3e-05,-5.8e-05,-8.6e-05,1.7e-06,5.8e-06,-1.6e-06,1.6e-05,-3.6e-05,-4.8e-07,-1.4e-06,2.4e-06,2.3e-07,9.7e-06,-4.0e-05,-2.1e-05,-8.7e-08,2.2e-06,5.2e-08,1.7e-06,-4.6e-08,-2.0e-05,-3.6e-06,-6.2e-06,-1.3e-05,2.4e-05,1.8e-05,2.7e-06,-1.1e-05,-4.5e-06,7.1e-06,4.3e-09,2.1e-10
0.54,8.85,5.89,7.00,1.8e-06,-3.1e-05,-8.6e-05,-4.2e-05,-2.2e-04,2.2e-06,1.7e-06,-4.9e-07,1.1e-05,-1.2e-04,-2.0e-06,-2.2e-05,8.9e-06,3.2e-07,-5.6e-06,-1.1e-04,-1.2e-05,-1.0e-07,3.4e-06,5.6e-08,-1.8e-06,-5.3e-08,-1.5e-05,-4.8e-06,-9.4e-06,-4.8e-05,7.7e-06,7.5e-06,6.6e-06,-1.2e-06,7.3e-06,-3.8e-06,5.2e-10,7.0e-11
1.35,5.47,4.08,6.32,3.6e-06,-4.6e-06,-1.2e-04,-4.4e-05,-9.5e-05,4.6e-06,4.5e-06,-1.3e-06,2.4e-05,-4.5e-05,-9.3e-07,-1.4e-05,1.4e-06,6.1e-07,5.7e-06,-1.5e-05,-2.4e-05,-2.2e-07,4.9e-06,1.1e-07,-2.4e-06,-1.1e-07,-1.6e-05,-4.1e-06,-1.2e-05,-4.0e-06,3.1e-05,1.9e-05,3.1e-06,-2.8e-06,-3.5e-06,-3.5e-06,1.7e-08,3.1e-10
0.80,8.93,3.74,6.06,2.9e-06,-1.4e-05,-1.3e-04,-2.7e-05,-1.6e-04,5.3e-06,1.7e-06,-4.8e-07,2.1e-05,-8.8e-05,-1.7e-06,-2.7e-05,4.1e-06,7.4e-07,-5.5e-06,-3.4e-05,-2.0e-05,-2.3e-07,6.9e-06,1.2e-07,-5.7e-06,-1.2e-07,-1.1e-05,-4.5e-06,-1.7e-05,-1.4e-05,1.4e-05,1.4e-05,6.5e-06,5.7e-06,1.7e-06,-1.1e-05,2.2e-09,1.4e-10
